label,text
ham,Hey are we still meeting today?
spam,Congratulations! You won $1000. Click here to claim your prize.
ham,Please call me when you reach home.
spam,URGENT! Your account has been suspended. Verify now!
ham,I'll send the report by evening.
spam,You have been selected for a free vacation. Reply YES to confirm.
ham,Don't forget the class tomorrow at 9am.
spam,Win a brand new iPhone! Visit our website now.
ham,Can you share the assignment file?
spam,Limited offer!!! Get 70% discount on all items. Buy now!
ham,Good morning, hope you have a great day!
spam,Free gift voucher waiting for you. Claim within 24 hours.
ham,I will text you after my meeting.
spam,Exclusive deal only for you! Click to activate.
ham,Where should we meet for lunch?
spam,Your ATM card has been blocked. Contact support immediately.
ham,Did you complete the homework?
spam,You’ve been chosen for a cash reward. Confirm now!
ham,I’m on the way, will arrive in 10 minutes.
spam,This is not a scam! Earn money from home easily.
ham,Thanks for helping me yesterday.
spam,Lowest insurance rates available. Apply online!
ham,Let’s catch up this weekend.
spam,Winner! You are entitled to a free laptop. Call now.
ham,Can you please resend the file?
spam,Your mobile number has won a lottery of $50,000!
ham,That sounds like a good plan.
spam,Buy medicines online at 80% discount.
ham,I will check and let you know.
spam,Act now! Limited-time subscription offer!
ham,Are we still going to the gym tonight?
spam,Your loan request is pre-approved. Click to proceed.
ham,Don’t worry, everything will be fine.
spam,Verify your password now or lose account access.
ham,Happy Birthday! Wishing you the best.
spam,Free recharge available. Visit our portal now.
ham,Let’s start working on the project today.
spam,Your parcel cannot be delivered. Update address here.
ham,Okay, thank you for informing me.
spam,Final notice! Renew membership immediately.
ham,I enjoyed our conversation earlier.
spam,You are eligible for free health coverage. Register now.
ham,Please book the tickets for tomorrow.
spam,Claim exclusive cashback rewards before midnight!
ham,Send me the location.
spam,New crypto investment opportunity. Join today!
ham,Are you free to talk right now?
spam,Your Facebook account has suspicious login attempts. Secure now!
ham,Let me know if you need help with anything.
spam,Unlimited internet at half price. Subscribe today!
ham,Call me when you get time.
spam,Your Amazon package is waiting for confirmation. Click to verify.
ham,I’ll bring snacks for the group study tonight.
spam,Congratulations! You have won a FREE prize. Click the link to claim now!
ham,Hey are we still meeting at 5pm today?
spam,Win a brand new iPhone by entering our contest. Limited time offer!
ham,Please send me the report when you are done.
spam,You have been selected for a $1000 gift voucher. Claim before midnight!
ham,Don't forget to bring your ID card tomorrow.
spam,URGENT! Your account has been compromised. Verify your details immediately.
ham,Can you call me back when you're free?
spam,Get cheap medicines online without prescription. Visit our website now!
ham,Happy birthday! Hope you have an amazing day.
spam,Earn money from home with zero investment. Join our program today!
ham,Thanks for the update. I'll check and get back to you.
spam,Winner! You are eligible for a free vacation trip. Click here to book.
ham,What time is the class tomorrow?
spam,Limited offer! Buy 1 get 2 free. Don’t miss out.
ham,I have attached the needed files. Let me know if you need more.
spam,Your mobile number has won a lottery. Contact us to claim.
ham,I'm on the way, will reach in 10 minutes.
spam,Exclusive deal: 90% discount on all products. Grab now!
ham,Let’s meet at the library for study.
